,ticker,Begin Date,End Date,ARY_start,ARY_end,ARY_count,ARY_exp_count,MRY_start,MRY_end,MRY_count,MRY_exp_count,ARQ_start,ARQ_end,ARQ_count,ARQ_exp_count,MRQ_start,MRQ_end,MRQ_count,MRQ_exp_count,ART_start,ART_end,ART_count,ART_exp_count,MRT_start,MRT_end,MRT_count,MRT_exp_count,1998_Missing,1999_Missing,2000_Missing,2001_Missing,2002_Missing,2003_Missing,2004_Missing,2005_Missing,2006Missing,2007_Missing,2008_Missing,2009_Missing,2011_Missing,2012_Missing,2013_Missing,2014_Missing,2015_Missing,2016_Missing,2017_Missing,2018_Missing,2019_Missing,2020_Missing,2006_Missing,2010_Missing
53,AMCR,2016-06-30,2020-12-31,2018-12-31,2020-12-31,4.0,,2016-12-31,2020-12-31,5.0,,2018-06-30,2020-12-31,9.0,,2017-06-30,2020-12-31,12.0,,2018-06-30,2020-12-31,9.0,,2016-06-30,2020-12-31,13.0,,,,,,,,,,,,,,,,,,,_Q3_Q4,_Q3_Q4,,,,,
54,AMD,1998-03-31,2020-12-31,1998-12-31,2020-12-31,24.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,94.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,AME,1998-12-31,2020-12-31,2000-12-31,2020-12-31,21.0,,1998-12-31,2020-12-31,23.0,,2000-06-30,2020-12-31,83.0,,1999-06-30,2020-12-31,87.0,,2000-06-30,2020-12-31,83.0,,1998-12-31,2020-12-31,88.0,,_Q2_Q3,,,,,,,,,,,,,,,,,,,,,,,
56,AMG,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,AMGN,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,AMP,2002-12-31,2020-12-31,2004-12-31,2020-12-31,20.0,,2002-12-31,2020-12-31,19.0,,2004-12-31,2020-12-31,66.0,,2003-12-31,2020-12-31,67.0,,2004-12-31,2020-12-31,66.0,,2002-12-31,2020-12-31,68.0,,,,,,_Q2_Q3,_Q2_Q3,_Q2,,,,,,,,,,,,,,,,,
59,AMP1,1998-03-31,1998-12-31,1998-12-31,1998-12-31,1.0,,1998-12-31,1998-12-31,1.0,,1998-03-31,1998-12-31,4.0,,1998-03-31,1998-12-31,4.0,,1998-03-31,1998-12-31,4.0,,1998-03-31,1998-12-31,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,AMT,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,AMZN,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
62,AN,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,AN1,1998-03-31,1998-09-30,,,0.0,,,,0.0,,1998-03-31,1998-09-30,3.0,,1998-03-31,1998-09-30,3.0,,1998-03-31,1998-09-30,3.0,,1998-03-31,1998-09-30,3.0,,_FY_Q4,,,,,,,,,,,,,,,,,,,,,,,
64,ANDV,1998-03-31,2018-06-30,1998-12-31,2017-12-31,20.0,,1998-12-31,2017-12-31,20.0,,1998-03-31,2018-06-30,83.0,,1998-03-31,2018-06-30,82.0,,1998-03-31,2018-06-30,83.0,,1998-03-31,2018-06-30,82.0,,,,,,,,,,,,,,,,,,,,,_FY_Q3_Q4,,,,
65,ANDW,1998-03-31,2007-12-31,1998-12-31,2007-12-31,10.0,,1998-12-31,2007-12-31,10.0,,1998-03-31,2007-09-30,39.0,,1998-03-31,2007-09-30,39.0,,1998-03-31,2007-09-30,39.0,,1998-03-31,2007-09-30,39.0,,,,,,,,,,,_Q4,,,,,,,,,,,,,,
66,ANET,2011-03-31,2020-12-31,2014-12-31,2020-12-31,7.0,,2011-12-31,2020-12-31,10.0,,2014-03-31,2020-12-31,28.0,,2011-03-31,2020-12-31,34.0,,2014-03-31,2020-12-31,28.0,,2011-03-31,2020-12-31,35.0,,,,,,,,,,,,,,_Q2_Q3,_Q2_Q3,,,,,,,,,,
67,ANF,1998-03-31,2020-12-31,1998-12-31,2020-12-31,23.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,95.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,95.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,ANRZQ,2003-12-31,2015-06-30,2004-12-31,2014-12-31,11.0,,2003-12-31,2014-12-31,12.0,,2004-12-31,2015-06-30,44.0,,2003-12-31,2015-06-30,47.0,,2004-12-31,2015-06-30,44.0,,2003-12-31,2015-06-30,47.0,,,,,,,_Q2_Q3,,,,,,,,,,,_FY_Q3_Q4,,,,,,,
69,ANSS,1998-03-31,2020-12-31,1998-12-31,2020-12-31,24.0,,1998-12-31,2020-12-31,23.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,1998-03-31,2020-12-31,93.0,,1998-03-31,2020-12-31,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
